"","source_id","Target","new_id","link","pubdate","source","tweet","post_method","user_statuses","user_following","user_followers","user_created_at","user_bio","user_location","lang","Person or source","News_Source","City","Province","Country","CBC","TweetToCBC","TweetToNOTCBC","mean(TweetToCBC)"
"2144",1223,"cbc",19944,"https://twitter.com/AuntieMarks/statuses/910223759205793792",2017-09-19 16:27:00,"auntiemarks","rt @susandelacourt: two national networks, #ctv and #cbc,  just broke away from pm\'s press conference to give @realdonaldtrump some air tim ","Twitter Web Client",6918,390,214,"Fri Sep 18 15:37:52 +0000 2015","i am a voracious reader, info news hound, game player, pastel artist,  of  ball tossers for our rescue dog ozzie",NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2146",1225,"cbc",85699,"https://twitter.com/auntykita/statuses/909833646156128264",2017-09-18 14:36:00,"auntykita",".@cbcsask &amp; @leaderpost gave more platform to anti-political correctness dude gad saad\'s talk this. crickets when it comes to @pam_palmater.","Twitter Web Client",743,938,620,"Wed Aug 12 17:29:07 +0000 2015","colonization caller outter. indigenous coordinator  @skwritersguild. board member  @briarpatchmag. indig lit enthusiast. nlongman@gmail.com tweets are mine","treaty no. ","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2150",1228,"cbc",66166,"https://twitter.com/AuroraTejeida/statuses/910152178232262656",2017-09-19 11:42:00,"auroratejeida","rt @cbc: these animals found in canada have names rooted in indigenous languages. https://t.co/bewbaximn https://t.co/bhcgdivmrc","Twitter for iPhone",18218,856,814,"Sun Jan 31 23:41:15 +0000 2010","communications coordinator at megaphone and freelance multimedia journalist","vancouver","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2152",1230,"cbc",34415,"https://twitter.com/austin_sebben/statuses/910302525957566464",2017-09-19 21:40:00,"austin_sebben","rt @cbcalerts: update: pm trudeau in tweet says \'devastating\' news from mexico city. canada will be ready to help our friends following mex ","Twitter for Android",11787,48,39,"Fri Jul 29 15:25:28 +0000 2016","scottish-italian-russian-irish-anglican-catholic-jewish-canadian-person  he/him","stratford, ontario","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2155",1232,"cbc",24322,"https://twitter.com/AustinGrabish/statuses/910252165817651202",2017-09-19 18:20:00,"austingrabish","rt @cbcalerts: minister carolyn bennett urges conservatives to kick senator lynn beyak out of caucus: https://t.co/pqyabul #cdnpoli","TweetDeck",5726,1692,2079,"Sat May 02 19:26:36 +0000 2009","reporter @cbcnews. i do web, radio and sometimes tv. send me your state secrets. austin.grabish@cbc.ca | -- on signal","winnipeg, manitoba","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2177",1245,"thebroadcastcbc",83941,"https://twitter.com/Avalon_Computer/statuses/910249215183527936",2017-09-19 18:08:00,"avalon_computer","@thebroadcastcbc ... not really a fitting tribute to a life lived holding on to every second","Twitter for Android",2642,83,91,"Tue Sep 03 10:44:18 +0000 2013","we are excited to launch our new service center on  topsail road.  we fix computers and recover lost data. if you have computer needs we can help",NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2178",1245,"thebroadcastcbc",83945,"https://twitter.com/Avalon_Computer/statuses/910248932940410880",2017-09-19 18:07:00,"avalon_computer","@thebroadcastcbc ron hynes god speed is about the suicide  of the writer of ""you put you\'re hand in the hand...""  a beautiful song but...","Twitter for Android",2642,83,91,"Tue Sep 03 10:44:18 +0000 2013","we are excited to launch our new service center on  topsail road.  we fix computers and recover lost data. if you have computer needs we can help",NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2200",1250,"cbc",62864,"https://twitter.com/AviationCanada/statuses/909895812276039680",2017-09-18 18:44:00,"aviationcanada"," years of celebrating new brunswick\'s golden hawks - from @cbc : https://t.co/djppfh","Aviation Canada",23460,26,934,"Fri Apr 08 11:33:40 +0000 2011","#aviation news from canada. our website is at @flightorg (https://t.co/tnxwbmhnl). account by @beliefmedia.","canada","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2205",1255,"cbc",27889,"https://twitter.com/avlijass/statuses/910270087256408065",2017-09-19 19:31:00,"avlijass","rt @courage_van: @pnpcbc @iancapstick lobbyist @iancapstick makes his living advising third parties on campaigns. clearly he doesn\'t want b ","Twitter for iPhone",2763,684,613,"Fri Apr 12 17:39:38 +0000 2013","@dogecoin to the moon","yvr","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2210",1258,"cbc",68201,"https://twitter.com/AvoGoddess/statuses/910231178992656384",2017-09-19 16:56:00,"avogoddess","@cbc @wildworks where is this lego installation? i must see it!","Twitter for iPhone",7206,2437,1030,"Thu Jan 28 01:03:52 +0000 2010","artist. writer. storyteller. eleutheromaniac. ""lose your mind & come to your senses."" #liveanexquisitelife #startanuproar","toronto, on","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2221",1267,"cbc",35132,"https://twitter.com/AWAKEALERT/statuses/910313600077594624",2017-09-19 22:24:00,"awakealert","rt @gordbolton: #uspoli #cdnpoli #pnpcbc #ukpolitics #auspol #eupol #polcan folks fighting isis say @realdonaldtrump is protecting the terr ","Twitter Web Client",61144,12862,15154,"Sat Dec 12 12:49:17 +0000 2009"," honesty is the first chapter of the book wisdom.     thomas jefferson",NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2226",1272,"thecurrentcbc",83749,"https://twitter.com/awruddiman/statuses/910226021437259776",2017-09-19 16:36:00,"awruddiman","all about perspective &amp; context .@thecurrentcbc - there are ,+ physicians in canada. for @bill_morneau to leve  https://t.co/xkfntusw","Twitter for iPhone",7389,1365,2556,"Fri Nov 16 06:13:38 +0000 2012","doctors of bc - immediate past prez. love being a rural generalist doc, husband, father, sailor & curious traveler. run a \' vw van. tweets still my own","okanagan-similkameen, british columbia","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2239",1281,"cbc",27840,"https://twitter.com/AyanTrumpsIslam/statuses/910270382195720192",2017-09-19 19:32:00,"ayantrumpsislam","rt @rgviles: @cbcpolitics now more than ever it\'s imperative to get rid of this ruinous idiot! vote trudeau out asap! #liberalssuck #trudea ","Twitter for iPhone",12517,467,312,"Thu Apr 27 05:19:29 +0000 2017","#mcga; climate change bs = poverty; no #m; ""i also accept the right for ppl to offend me"" islam doesn\'t like to be offended. it wants obedience. #freespeech",NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2240",1281,"cbc",27924,"https://twitter.com/AyanTrumpsIslam/statuses/910269930687234048",2017-09-19 19:30:00,"ayantrumpsislam","rt @denisebatters: .@cbcpolitics media story re #trudeau press conference (presser delayed + started same time as trump #unga speech). #tru ","Twitter for iPhone",12517,467,312,"Thu Apr 27 05:19:29 +0000 2017","#mcga; climate change bs = poverty; no #m; ""i also accept the right for ppl to offend me"" islam doesn\'t like to be offended. it wants obedience. #freespeech",NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2243",1283,"icbc",99858,"https://twitter.com/aye1ne/statuses/909940788355768320",2017-09-18 21:42:00,"aye1ne","@icbc thanks to u faggots my night gets set back  hours aka behind cuz ur computer system is shit. awesome. i luv doing this every  months","Twitter for iPhone",20645,805,543,"Tue Jun 29 22:20:51 +0000 2010","https://t.co/ombyktkay",NA,"en","source","CBC","Quebec","Quebec","Canada","CBC",1,0,1
"2244",1283,"icbc",99832,"https://twitter.com/aye1ne/statuses/909941551010160640",2017-09-18 21:45:00,"aye1ne","@icbc fix your fucking system so good people don\'t have to deal with shit like this on a regular basis. i fucking hate you with a passion","Twitter for iPhone",20645,805,543,"Tue Jun 29 22:20:51 +0000 2010","https://t.co/ombyktkay",NA,"en","source","CBC","Quebec","Quebec","Canada","CBC",1,0,1
"2245",1283,"icbc",99851,"https://twitter.com/aye1ne/statuses/909941110012653568",2017-09-18 21:44:00,"aye1ne","i wish there was another company to use other then these fuckboys @icbc worst fucking company period. in fucking history. bunch of jackasses","Twitter for iPhone",20645,805,543,"Tue Jun 29 22:20:51 +0000 2010","https://t.co/ombyktkay",NA,"en","source","CBC","Quebec","Quebec","Canada","CBC",1,0,1
"2246",1283,"icbc",99872,"https://twitter.com/aye1ne/statuses/909940388365877248",2017-09-18 21:41:00,"aye1ne","i love sitting at the insurance place for a hour dealing wit the same shit i dealt wit months ago @icbc y\'all are some stupid motherfuckers","Twitter for iPhone",20645,805,543,"Tue Jun 29 22:20:51 +0000 2010","https://t.co/ombyktkay",NA,"en","source","CBC","Quebec","Quebec","Canada","CBC",1,0,1
"2251",1288,"cbc",70381,"https://twitter.com/aylaw09/statuses/910337359681429504",2017-09-19 23:58:00,"aylaw09","marketing superstar speaking!  #okseeyou #kimsconvenpence @cbc @kimsconvenience @kimbits https://t.co/rdpgozo","Twitter for iPhone",7431,2247,1616,"Mon Aug 22 22:23:14 +0000 2011","mother, traveller, foodie, adventure seeker, contest lover, exercise newbie, astronaut wannabe, geek, newbie writer and dreamer. instagram: peachy","vancouver, bc","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2264",1299,"cbc",15730,"https://twitter.com/b_bourbonniere/statuses/910208011603529728",2017-09-19 15:24:00,"b_bourbonniere","rt @cbcns: public invited to full regimental funeral for n.s. mountie killed in new brunswick https://t.co/ajjzzmxyw https://t.co/sxcevwi ","Twitter for iPhone",1955,79,37,"Sat Apr 14 20:00:55 +0000 2012",NA,"halifax, nova scotia","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2274",1304,"cbc",51180,"https://twitter.com/B3zBGPXvL7CdjMt/statuses/909900792521306112",2017-09-18 19:03:00,"b3zbgpxvl7cdjmt","rt @cbcnl: watch | rcmp\'s boyd merril talks ptsd and mental illness following the death of cpl. trevor o\'keefe.https://t.co/ljjaivyc# ","Twitter Web Client",1462,102,14,"Sun Jul 02 00:56:33 +0000 2017",NA,NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2279",1309,"heartlandoncbc",70396,"https://twitter.com/Babbette2016/statuses/910335978518302720",2017-09-19 23:53:00,"babbette2016","@peratp @cinthyalizeth @heartlandoncbc @cbc @graham @amber_marshall yes sir, indeed!","Twitter Web Client",1798,193,159,"Thu Dec 08 05:53:19 +0000 2011","dogs have owners; cats have staff.","texas","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2280",1309,"heartlandoncbc",68756,"https://twitter.com/Babbette2016/statuses/910255306789310466",2017-09-19 18:32:00,"babbette2016","@cinthyalizeth @heartlandoncbc @cbc @graham @amber_marshall if heartland were like other trash on tv, they\'d r  https://t.co/sgkgluh","Twitter Web Client",1790,193,159,"Thu Dec 08 05:53:19 +0000 2011","dogs have owners; cats have staff.","texas","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2284",1313,"cbc",10563,"https://twitter.com/Babs5445/statuses/910175038506024961",2017-09-19 13:13:00,"babs5445","rt @susandelacourt: two national networks, #ctv and #cbc,  just broke away from pm\'s press conference to give @realdonaldtrump some air tim ","Twitter Web Client",19447,1800,1548,"Sun Aug 08 18:04:44 +0000 2010","political junkie, nature lover, defender of animals, feminist, hater of all things trump!!!",NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2285",1314,"cbc",65489,"https://twitter.com/baby_earp/statuses/910131418541559815",2017-09-19 10:20:00,"baby_earp","rt @workinmoms: montreal, horrible bosses &amp; more on #workinmoms. watch workin\' moms tonight at :/nt on @cbc &amp; online: https://t.co/hq ","Twitter for iPhone",250,147,43,"Sat Sep 09 14:34:58 +0000 2017","alice michelle. aka baby_earp .. i\'m not in purgatory with mommy right now but i\'m safe with aunty gus","location unknown","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2312",1336,"tweetermillscbc",72587,"https://twitter.com/bagelottawa/statuses/909869486853017601",2017-09-18 16:59:00,"bagelottawa","@realamyd @rbeesfan @worksburger @tweetermillscbc you got that right!","Hootsuite",3887,4886,3905,"Wed Dec 21 15:39:41 +0000 2011","famous for our delicious montreal style bagels! enjoy them in our shops, at home, at catered events, or from farm boy or costco! #foodie #ottawa","ottawa, ontario, canada","en","source","CBC","Regina","Saskatchewan","Canada","CBC",1,0,1
"2313",1336,"tweetermillscbc",72024,"https://twitter.com/bagelottawa/statuses/909846712847622144",2017-09-18 15:28:00,"bagelottawa","@tweetermillscbc @rbeesfan @realamyd aww thanks peter :) it\'s true - we are nice and toasty in the winter! great sp  https://t.co/qrqsegsn","Hootsuite",3883,4883,3905,"Wed Dec 21 15:39:41 +0000 2011","famous for our delicious montreal style bagels! enjoy them in our shops, at home, at catered events, or from farm boy or costco! #foodie #ottawa","ottawa, ontario, canada","en","source","CBC","Regina","Saskatchewan","Canada","CBC",1,0,1
"2314",1336,"tweetermillscbc",72019,"https://twitter.com/bagelottawa/statuses/909846927696699392",2017-09-18 15:29:00,"bagelottawa","@rbeesfan @realamyd @worksburger @tweetermillscbc this conversation is amazing    (and is also making us hungry.)","Hootsuite",3883,4883,3905,"Wed Dec 21 15:39:41 +0000 2011","famous for our delicious montreal style bagels! enjoy them in our shops, at home, at catered events, or from farm boy or costco! #foodie #ottawa","ottawa, ontario, canada","en","source","CBC","Regina","Saskatchewan","Canada","CBC",1,0,1
"2328",1345,"cbc",25520,"https://twitter.com/bakerygurl/statuses/910260594732933121",2017-09-19 18:53:00,"bakerygurl","rt @cbcpolitics: scheer: why is pm putting economic future at risk with tax changes? morneau: current tax system favours wealthy, we want f ","Twitter for iPad",14096,829,458,"Sun Jun 17 00:52:26 +0000 2012","\'once you lick the lollipop of mediocrity, you will suck forever\'","    canada eh!    ","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2342",1355,"cbc",59431,"https://twitter.com/BananeSurBalcon/statuses/909980266214588417",2017-09-19 00:19:00,"bananesurbalcon","rt @cbcalerts: police seek public help in finding yvon lacasse, , whose car was used by suspect in recent quebec amber alert case https:/ ","Twitter Web Client",4834,212,149,"Fri Sep 27 06:55:13 +0000 2013","maki (they/he/il) smol sprout            born summer ,        ,    , pan,   non-binary/x     , french-canadian             quebec/tokyo, mmmbop!   we the kings              ctfxc-er!              ","québec, canada","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2433",1379,"cbc",22736,"https://twitter.com/BarbaraMcK42/statuses/910238891050860544",2017-09-19 17:27:00,"barbaramck42","rt @gordbolton: @barbaramck @marcelsardo #uspoli #cdnpoli #pnpcbc #ukpolitics #auspol #eupol #polcan @opcw @antonioguterres @realdonaldtr ","Twitter Web Client",20428,1080,1657,"Fri Jan 09 04:37:18 +0000 2015","wrote \'colour & light, illness & death\' re kafka\'s \'the trial\'. trying to write about greek resist., but diverted by war on syria. anti-imperialist","wellington, nz","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2443",1387,"cbc",1903,"https://twitter.com/barbish11/statuses/910132254965366787",2017-09-19 10:23:00,"barbish11","rt @cbcpolitics: canada\'s privacy commissioner \'very concerned\' about u.s. border phone searches https://t.co/gukrjypz #hw #cdnpoli https ","Twitter Web Client",3756,53,22,"Sun May 12 03:50:06 +0000 2013","east coast born and raised, book reading, wine loving, cat owner.",NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2446",1390,"cbc",64147,"https://twitter.com/barbudeville/statuses/909944490089177089",2017-09-18 21:57:00,"barbudeville","@boulechitte @bengigger @lucgelinasrds @cbc @canadiensmtl tu comprend ce que je veux dire fais pas ton con..  ","Twitter for Android",5356,257,263,"Sat Oct 01 02:22:27 +0000 2016","propriétaire d\'une barbe et d\'un chien saucisse. papa deux fois qui, entre deux chicanes de ses enfants, écrit des nouvelles littéraires, des chronique.","saint-jérôme, québec","fr","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2447",1390,"cbc",64108,"https://twitter.com/barbudeville/statuses/909945699026030592",2017-09-18 22:02:00,"barbudeville","@boulechitte @bengigger @lucgelinasrds @cbc @canadiensmtl dans quel coin ton club junior?","Twitter for Android",5356,257,263,"Sat Oct 01 02:22:27 +0000 2016","propriétaire d\'une barbe et d\'un chien saucisse. papa deux fois qui, entre deux chicanes de ses enfants, écrit des nouvelles littéraires, des chronique.","saint-jérôme, québec","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2448",1391,"heartlandoncbc",60628,"https://twitter.com/barbyk25/statuses/909808419074461697",2017-09-18 12:56:00,"barbyk25","rt @heartlandoncbc: nothing says ""new season starts on @cbc  week from today"" like the new season  poster. here it is, heartlanders!#il ","Twitter for iPhone",62,154,21,"Tue Jul 16 16:10:12 +0000 2013",NA,NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2453",1394,"cbc",31625,"https://twitter.com/BarerKyra/statuses/910294919729811462",2017-09-19 21:09:00,"barerkyra","rt @kiteie: @whitetrashpunk @denisebatters @cbcpolitics @justintrudeau majority of canadian want to listen to mr. prime minister trudeau, t ","Mobile Web (M2)",280,0,1,"Wed Sep 20 00:09:16 +0000 2017","check the first twèèt for the ii k   ref:cxpgkkenya",NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2462",1400,"cbc",5794,"https://twitter.com/BarnyIA/statuses/910148501740376070",2017-09-19 11:28:00,"barnyia","rt @susandelacourt: two national networks, #ctv and #cbc,  just broke away from pm\'s press conference to give @realdonaldtrump some air tim ","Twitter for iPad",4948,162,1523,"Fri Oct 21 19:15:32 +0000 2011",NA,NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2463",1401,"cbc",66779,"https://twitter.com/BARRACKp/statuses/910180986905858048",2017-09-19 13:37:00,"barrackp","rt @mrd_on_cbc: season  of mr. d is on its way! tune in - tuesday, september , : pm ( nt) on @cbc! https://t.co/uqtjtng","Twitter for Android",5333,231,206,"Mon Jan 21 16:10:45 +0000 2013","not a senior citizen!",NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2464",1402,"cbc",63519,"https://twitter.com/Barrettdj/statuses/909923321919295488",2017-09-18 20:33:00,"barrettdj","rt @cbc: how to watch the polaris music prize tonight https://t.co/sjmvbslkfj #polarisprize https://t.co/vjkkfmmq","Nuzzel",8497,1990,592,"Sun Jun 27 01:43:21 +0000 2010","always learning, parent, politics, energy policy, tech, media, open data, music, cycling, triathlon, wrestling, geek. opinions mine. rt is not endorsement","toronto, ontario","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2469",1407,"icbc",102867,"https://twitter.com/barry__thompson/statuses/910184196965928960",2017-09-19 13:49:00,"barry__thompson","rt @icbc: #icymi: @kamloopsrcmp cracking down on distracted drivers who can\'t take a phone break behind the wheel, #eyesfwdbc https://t.co/ ","Twitter for Android",899,129,70,"Sat Jul 21 17:35:47 +0000 2012","no longer a buy and hold investor. i dream of usd/cad at par. trader of xsp because there is nothing else worth trading on the tse. happiest out of the market",NA,"en","source","CBC","Quebec","Quebec","Canada","CBC",1,0,1
"2484",1416,"icbc",104142,"https://twitter.com/BasesTeacher/statuses/910232872736272384",2017-09-19 17:03:00,"basesteacher","rt @cqrcmp: we be lookin  for scurvey dogs usin\' cell phones on th\' high seas #talklikeapirateday #cqarrrrrcmp @icbc #leaveyerphonealone ht ","Twitter for iPad",2230,165,124,"Thu Sep 13 01:04:15 +0000 2012","teacher in surrey, bc.",NA,"en","source","CBC","Quebec","Quebec","Canada","CBC",1,0,1
"2490",1422,"thecurrentcbc",84554,"https://twitter.com/bastayanomas/statuses/910337945453846528",2017-09-20 00:00:00,"bastayanomas","@aristeguicnn @expansionmx @thecurrentcbc @jorgeramosnews https://t.co/fivhxsx","Twitter for iPhone",5915,739,92,"Sun Aug 21 07:26:18 +0000 2011","mexicano en el exilio!","chilangolandia","und","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2496",1427,"cbc",67169,"https://twitter.com/bath_rob/statuses/910189038551879680",2017-09-19 14:09:00,"bath_rob","#ldnont rejoice - we now have access to stream shows from our national broadcaster @cbc with the new @apple tv app https://t.co/msyidgfgaq","Twitter for iPhone",280,67,84,"Sun Sep 08 14:04:54 +0000 2013",NA,"london, ontario","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2497",1428,"heartlandoncbc",68394,"https://twitter.com/battell_rebecca/statuses/910239347462541317",2017-09-19 17:29:00,"battell_rebecca","rt @heartlandoncbc: nothing says ""new season starts on @cbc  week from today"" like the new season  poster. here it is, heartlanders!#il ","Twitter for Android",9370,629,296,"Wed Jan 29 23:49:05 +0000 2014","rebecca battella #heartlander ... student             #ambermarshall  so in love with psychology! #cowgirl","fosdinovo, toscana","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2498",1428,"heartlandoncbc",67485,"https://twitter.com/battell_rebecca/statuses/910207149539778561",2017-09-19 15:21:00,"battell_rebecca","rt @heartlandoncbc: here you go fans. lots more of this come sunday when season  premieres at ;pm on @cbc                                                 #iloveheartland @graham ","Twitter for Android",9359,627,296,"Wed Jan 29 23:49:05 +0000 2014","rebecca battella #heartlander ... student             #ambermarshall  so in love with psychology! #cowgirl","fosdinovo, toscana","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2512",1439,"cbc",5073,"https://twitter.com/Bbee824/statuses/910144672537776130",2017-09-19 11:12:00,"bbee824","#cbc i wanted to watch and listen to our canadian prime minister speak this a.m.  not trump. so disappointed in you #cdnpoli","Twitter for Android",164,408,18,"Tue Sep 27 00:46:06 +0000 2016",NA,NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2542",1458,"cbc",67406,"https://twitter.com/bcachievement/statuses/910202750469672960",2017-09-19 15:03:00,"bcachievement","rt @cbcbooks: .@beckyblake_ is the winner of the  @cbc nonfiction prize! https://t.co/twvszqzmcj","Twitter Web Client",943,3042,1054,"Wed May 05 22:49:00 +0000 2010","celebrating excellence in bc and canada through award programs in indigenous business, first nations art, applied art, non-fiction books & community achievement","british columbia","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2546",1460,"cbc",13455,"https://twitter.com/bcalmanac/statuses/910195694916444160",2017-09-19 14:35:00,"bcalmanac","rt @cbcnewsbc: b.c. government to ban union and corporate political donations https://t.co/egpplutbh #bcpoli https://t.co/tzldmdzo","Twitter Web Client",7121,859,6600,"Thu Dec 04 21:17:06 +0000 2008","bc almanac is bringing you the stories that british columbians are talking about today! tune in weekdays for gloria macarenko, - pm, . fm &  am.","vancouver","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2549",1462,"cbc",101710,"https://twitter.com/bcbluecon/statuses/910143194070843400",2017-09-19 11:07:00,"bcbluecon","the side of vancouver that doesn\'t make the postcards https://t.co/pqvefugcbc","Twitter Web Client",163501,23,6490,"Wed Dec 02 04:41:07 +0000 2009","one bc conservative\'s view on it all",NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2550",1462,"cbc",5569,"https://twitter.com/bcbluecon/statuses/910149520951984131",2017-09-19 11:32:00,"bcbluecon","rt @cbckatie: trudeau had been asked to provide some clarity about his own personal finances, family finances, and whether he\'s paying his ","Twitter Web Client",163513,23,6490,"Wed Dec 02 04:41:07 +0000 2009","one bc conservative\'s view on it all",NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2611",1488,"cbc",44445,"https://twitter.com/BCSurgeons/statuses/909847112149475330",2017-09-18 15:30:00,"bcsurgeons","rt @cbcpolitics: trudeau\'s bahamas vacation cost over $k   far more than initially disclosed https://t.co/yarmapqqpz #hw #cdnpoli https: ","Twitter Lite",15431,1108,2084,"Thu May 17 04:26:37 +0000 2012","general surgeons save lives /. whether it is a car accident, ruptured appendix, colon or breast cancer we are there for you.   tweets stimulate discussion","british columbia","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2618",1492,"cbc",69406,"https://twitter.com/BCVacation/statuses/910283630982901761",2017-09-19 20:25:00,"bcvacation","rt @cbc: these animals found in canada have names rooted in indigenous languages. https://t.co/gwcrheya  ","Hootsuite",40783,9047,9959,"Thu May 24 00:37:15 +0000 2012","adventure travel in beautiful british columbia, canada. follow us for tweets on discounts, special rates, last-minute deals, getaways & #bcvacation packages.",NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2619",1493,"cbc",60104,"https://twitter.com/bcwestmind/statuses/909987235142840321",2017-09-19 00:47:00,"bcwestmind","rt @pnpcbc: \'rebalancing the tax system\' will pay for basic income plan, says ndp leadership candidate @guycaronnpd. #pnpcbc https://t.co/b ","Twitter Lite",43962,3671,2366,"Tue Mar 31 19:55:59 +0000 2009","it\'s time for a basic income of $, a year. #basicincome #cdnpoli #bcpoli #solar     https://t.co/hgbkjusu","canada","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2632",1501,"icbc",100752,"https://twitter.com/BE_Guevara10/statuses/909976653048143872",2017-09-19 00:05:00,"be_guevara10","@icbc odds of getting ripped off increase x if you\'re ""insured"" by icbc","Twitter for iPhone",323,142,34,"Sat Sep 24 00:31:29 +0000 2011",NA,"british columbia","en","source","CBC","Quebec","Quebec","Canada","CBC",1,0,1
"2647",1511,"cbc",3726,"https://twitter.com/bearsnflames/statuses/910143710427598849",2017-09-19 11:09:00,"bearsnflames","wow!  @cbcnews leaving trudeau speech to cover trump speech.one step closer to being a mini cnn.  #canadafirst","Twitter for Android",6542,1406,1430,"Mon Oct 24 13:54:40 +0000 2011","music. sport. no shits just giggles. idle the heck down. proud to be canadian.","northern ontario, canada","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2666",1520,"cbc",14651,"https://twitter.com/BeautifulRed7/statuses/910197569753513984",2017-09-19 14:43:00,"beautifulred7",".@cbcsask so will you stop using the ctf as some sort of politically neutral observer now?sure hope so.#cdnpoli https://t.co/vsobjxk","Twitter Web Client",30536,1141,1017,"Sun Jul 01 19:31:17 +0000 2012","please...don\'t add me to lists. i do not tolerate hate, name calling or bullying. instant block. thanks.","canada","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2668",1522,"cbc",66857,"https://twitter.com/beaversedgeTV/statuses/910178456838615040",2017-09-19 13:27:00,"beaversedgetv","#found #s #vhs help restore the great @cbc soap opera beaver\'s edge send. https://t.co/tjrhyeyan","Twitter Web Client",6,1,6,"Sun Sep 03 18:27:29 +0000 2017","famed s canadian soap opera finally restored for your viewing pleasure!","beaver\'s edge","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2679",1527,"cbc",25047,"https://twitter.com/beckydavila/statuses/910255967648059392",2017-09-19 18:35:00,"beckydavila","rt @cbcalerts: update: pm trudeau in tweet says \'devastating\' news from mexico city. canada will be ready to help our friends following mex ","Twitter for iPhone",13332,121,180,"Wed Feb 23 09:07:17 +0000 2011","  ",NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2689",1532,"cbc",66039,"https://twitter.com/Bedrock65/statuses/910149456238170112",2017-09-19 11:31:00,"bedrock65","@cbcnews president trump criticizes the un, which he has every right to do given that the us funds most if it yet  https://t.co/pkmffwkur","Talon (Plus)",5824,50,48,"Wed Dec 02 02:56:01 +0000 2009","once we make it safe, they re coming home mark my words they ll be coming","toronto","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"2721",1543,"cbc",18218,"https://twitter.com/Beldorney/statuses/910217722566496258",2017-09-19 16:03:00,"beldorney","rt @susandelacourt: two national networks, #ctv and #cbc,  just broke away from pm\'s press conference to give @realdonaldtrump some air tim ","Twitter Web Client",19639,502,557,"Tue Jul 17 16:10:18 +0000 2012","the greatest enemy of knowledge is not ignorance, it is the illusion of knowledge.   stephen hawking","canada","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
